,Names,Situacoes
310,AGROPEC TUCUMAN SA,Cancelado em 28/11/2016
311,AGROPEC VALE  DO  RIO URINDEUA,Cancelado em 14/02/2012
312,AGROPEC VALE DIAMANTE SA,Cancelado em 14/02/2012
313,AGROPEC VALE DIAMANTE SA,Cancelado em 24/08/2016
314,AGROPEC VALE DO ARAGUAIA S/A,Cancelado em 04/01/2006
315,AGROPEC VALE DO COCHA SA,Cancelado em 11/03/2008
316,AGROPEC VALE DO GURGUEIA SA,Cancelado em 22/09/2010
317,AGROPEC VALE DO IPOJUCA SA,Cancelado em 03/07/1997
318,AGROPEC VALE DO PRATA SA,Cancelado em 14/02/2012
319,AGROPEC VALE DO RIO CORDA SA,Cancelado em 14/02/2012
320,AGROPEC VALE DO SOL SA,Cancelado em 28/09/2008
321,AGROPEC VARZEA NOVA SA,Cancelado em 14/02/2012
322,AGROPEC VARZELANDIA SA - AGROPEVA,Cancelado em 14/02/2012
323,AGROPEC WALCON SA,Cancelado em 28/09/2008
324,AGROPECUÁRIA ARAÇATUBA S/A,Cancelado em 03/05/2013
325,AGROPECUÁRIA BRASIL PALMEIRAS S.A.,Cancelado em 02/05/2016
326,AGROPECUÁRIA DOIS IRMÃOS S/A,Cancelado em 02/05/2016
327,AGROPECUÁRIA EMILIO OMENA S/A - AGROMENA,Cancelado em 24/10/2012
328,AGROPECUÁRIA FIO DE OURO S.A.,Cancelado em 17/07/2020
329,AGROPECUÁRIA FLOR DO OURO S/A,Cancelado em 14/02/2012
330,AGROPECUÁRIA FOGLIATELLI S.A.,Cancelado em 24/07/2017
331,AGROPECUÁRIA JOTA COELHO S/A,Cancelado em 28/12/2010
332,AGROPECUÁRIA ORIENTE S/A,Cancelado em 14/02/2012
333,AGROPECUÁRIA PARANAIBA S/A,Cancelado em 14/02/2012
334,AGROPECUARIA PAU RAINHA S/A,Cancelado em 14/02/2012
335,AGROPECUÁRIA PINGUIM S.A.,Concedido em 22/08/2012
336,AGROPECUÁRIA PONTAL DO PARANAITA S.A.,Cancelado em 12/04/2018
337,AGROPECUÁRIA RICARDO FRANCO S.A.,Cancelado em 07/05/2014
338,AGROPECUÁRIA RIO BRILHANTE S/A,Cancelado em 14/02/2012
339,AGROPECUÁRIA RIO URUARÁ S.A.,Cancelado em 01/06/2017
340,AGROPECUÁRIA SÃO LUIZ LTDA,Cancelado em 14/02/2012
341,AGROPECUARIA SÃO SEBASTIÃO DO ARAGUAIA S/A,Cancelado em 29/04/2009
342,AGROPECUARIA TAMAKAVY SA,Cancelado em 25/02/1988
343,AGROPECUARIA TAMAKAVY SA,Cancelado em 10/10/2019
344,AGROPECUÁRIA TERRA BRAVIA S/A,Cancelado em 07/07/2006
345,AGROPECUÁRIA VALE DO RIO ACRE S/A,Cancelado em 24/10/2012
346,AGROPEMA AGROPEC MADRAS SA,Cancelado em 02/01/1996
347,AGROPIL AGROPEC P IBIAPABA SA,Cancelado em 14/02/2012
348,AGROPIPER SA,Cancelado em 14/02/2012
349,AGROPISA AGROPEC DO PIAUI S/A,Cancelado em 28/09/2008
350,AGROSETE PEC E IND SA,Cancelado em 14/02/2012
351,AGROTEP SA AGROPEC,Cancelado em 14/02/2012
352,AGROVAS AGROPEC VALE DO SUIA SA,Cancelado em 17/07/2006
353,AGROVERDE SA,Cancelado em 02/03/1994
354,AGROVERDES AGRICOLA SA,Cancelado em 07/10/2009
355,AGUA PEDRA AZUL SA,Cancelado em 01/07/2004
356,AGUA VERDE AGROPEC SA AVASA,Cancelado em 05/01/2006
357,AGUA VIVA PRAIA HOTEL SA,Cancelado em 14/02/2012
358,AGUANAMBI INDL SA,Cancelado em 14/02/2012
359,AGUAS GUARIROBA S.A.,Concedido em 06/08/2014
360,AGUISA-AGROPEC GUIMARAES SA,Cancelado em 14/02/2012
361,AGUISA-AGROPEC GUIMARAES SA,Cancelado em 12/08/2015
362,AGV HOLDING S/A,Cancelado em 10/03/2014
363,AIR LIQUIDE,Cancelado em 19/11/1998
364,AJAJ SA AGROPECUARIA,Cancelado em 14/02/2012
365,AJEFISA-AGROPEC JOSE A F SA,Cancelado em 14/02/2012
366,ALAISA ALAGOAS AGRIC IRRIG.,Cancelado em 14/02/2012
367,ALBAE PARTICIPACOES SA,Cancelado em 15/05/2002
368,ALBATROZ SA,Cancelado em 27/12/1990
369,ALCACE NE SA EQUIP ELETRICOS,Cancelado em 14/02/2012
370,ALCALIS RIO GRANDE DO NORTE SA,Cancelado em 04/01/2010
371,ALCALIS RIO GRANDE DO NORTE SA,Cancelado em 29/09/1995
372,ALCAN ALUMINIO DO BRASIL SA,Cancelado em 28/07/1987
373,AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA,Cancelado em 13/11/2007
374,ALCLOR QUIM DE ALAGOAS SA,Cancelado em 13/09/1993
375,ALCOA ALUMINIO DO NE SA,Cancelado em 24/03/1994
376,ALCOA ALUMINIO SA,Cancelado em 19/10/1993
377,ALDEIA DOS REIS TURISMO SA,Cancelado em 22/12/2005
378,ALEF SA,Concedido em 08/12/1997
379,ALENAIDE AGRICOLA SA,Cancelado em 14/02/2012
380,ALENAIDE AGRICOLA SA,Cancelado em 30/01/2014
381,ALFA HOLDINGS SA,Concedido em 20/07/1977
382,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,Cancelado em 13/11/2007
383,ALFRED SA COMERCIO DO VESTUARIO,Cancelado em 09/08/2005
384,ALGAR TELECOM S/A,Concedido em 27/07/2007
385,ALGONORTE ALGODOEIRA NORTE SA,Cancelado em 10/04/2008
386,ALIANSCE SHOPPING CENTERS S/A,Cancelado em 05/08/2019
387,ALIANSCE SONAE SHOPPING CENTERS S.A.,Concedido em 01/02/2011
388,ALIM PROTEICOS DO NORTE SA,Cancelado em 14/02/2012
389,ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA,Cancelado em 10/11/2003
390,ALIMENTICIO INTERN DE CACAU SA,Cancelado em 14/02/2012
391,ALIPAR ALIMENTOS E PARTS SA,Cancelado em 27/09/1995
392,ALIUM PARTICIPAÇÕES SA,Cancelado em 31/08/2011
393,ALL FAMA INDL SA,Cancelado em 14/02/2012
394,ALL FAMA INDL SA,Cancelado em 18/04/2019
395,ALLIED TECNOLOGIA S.A.,Concedido em 25/11/2020
