,Names,Situacoes
213,CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE,Concedido em 25/05/2017
214,CONCESSIONARIA RIO-TERESOPOLIS SA,Concedido em 26/12/2001
215,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,Concedido em 30/06/2010
216,CONCESSIONÁRIA ROTA DO OESTE S.A.,Concedido em 07/06/2016
217,CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL,Concedido em 20/07/1977
218,CONSERVAS ODERICH SA,Concedido em 20/07/1977
219,CONSIG 6 | COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS,Concedido em 12/08/2020
220,CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS,Concedido em 21/01/2020
221,CONSORCIO ALFA DE ADMINISTRAÇÃO SA,Concedido em 20/07/1977
222,CONST ADOLPHO LINDENBERG SA,Concedido em 20/07/1977
223,CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL,Concedido em 29/09/1986
224,CONSTRUTORA TENDA S/A,Concedido em 11/10/2007
225,COPEL GERAÇÃO E TRANSMISSÃO S/A,Concedido em 27/06/2019
226,CORREA RIBEIRO SA COM IND,Concedido em 20/07/1977
227,COSAN LOGÍSTICA S.A.,Concedido em 11/09/2014
228,COSAN S.A.,Concedido em 26/10/2005
229,COTECE SA,Concedido em 10/10/1989
230,CPFL ENERGIA SA,Concedido em 18/05/2000
231,CPFL ENERGIAS RENOVÁVEIS S.A.,Concedido em 08/03/2007
232,CPFL GERAÇÃO DE ENERGIA S/A,Concedido em 07/06/2001
233,CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A,Concedido em 16/04/2007
234,CSA-COMPANHIA SECURITIZADORA DE ATIVOS,Concedido em 16/12/2003
235,CSU CARDSYSTEM S/A,Concedido em 25/04/2006
236,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,Concedido em 24/08/2016
237,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Concedido em 14/07/1999
238,CURTUME JANGADAS S/A,Concedido em 01/08/2018
239,CURY CONSTRUTORA E INCORPORADORA S.A.,Concedido em 17/09/2020
240,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,Concedido em 05/12/2013
241,CYRELA BRAZIL REALTY SA EMPRS E PARTS,Concedido em 07/07/1994
242,CYRELA COMMERCIAL PROPERTIES SA EMP  PART,Concedido em 01/08/2007
243,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,Concedido em 06/08/2020
244,DETEN QUIMICA SA,Concedido em 26/09/1989
245,DIAGNOSTICOS DA AMERICA SA,Concedido em 05/11/2004
246,DIBENS LEASING S.A.- ARREND. MERCANTIL,Concedido em 28/09/1993
247,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,Concedido em 20/07/1977
248,DINAMICA ENERGIA S/A,Concedido em 03/05/2006
249,DIRECIONAL ENGENHARIA SA,Concedido em 29/02/2008
250,DOHLER S.A.,Concedido em 26/12/1973
251,DOMMO ENERGIA S.A.,Concedido em 17/09/2014
252,DTCOM - DIRECT TO COMPANY S.A.,Concedido em 04/02/2000
253,DURATEX S.A.,Concedido em 10/09/2007
254,ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A,Concedido em 15/07/2009
